Customer_ID,subscription_type,start_date,years_active,no_of_other_postpaid_accounts,frequent_availed_top_up_amount_30days,postpaid_plan_30days,monthly_revenue,no_of_top_ups_30days,last_date_top_up,days_since_last_two_top_ups,cellsite,no_of_days_subscribed_to_Call_Text_30days,no_of_days_subscribed_to_GoSurf_30days,no_of_days_subscribed_to_GoWatch_30days,no_of_days_subscribed_to_OtherApps_30days,total_hours_internet_usage_30days,total_hours_OtherApps_usage_30days,no_of_failed_Call_Text_30days,no_of_failed_Surfing_30days,no_of_failed_143hotline_30days,no_of_call_records_Complaint_30days,mins_of_call_records_Complaint_30days,no_of_logged_GlobeOne_30days,Survey_Score
0917-3346724633,postpaid,07/12/2014,4.98,0,66,1499,1565,1,5/13/2019,26,CN-18,30,30,28,18,109,138,16,16,3,5,21,1,0
0917-7778924869,postpaid,08/09/2016,2.87,0,0,599,599,1,06/03/2019,5,CN-5,30,30,7,22,195,5,3,10,28,4,28,12,0
0917-8383299331,prepaid,4/14/2011,8.27,0,300,0,600,3,05/09/2019,30,CN-12,19,24,30,18,196,240,25,17,29,1,18,23,0
0917-9249148926,postpaid,9/23/2009,9.85,1,101,999,1100,1,05/12/2019,27,CN-22,30,30,1,23,36,176,30,20,4,10,20,16,0
0917-7732651733,prepaid,11/30/2009,9.66,0,500,0,742,2,04/11/2019,58,CN-20,21,24,8,10,202,214,27,16,14,7,27,7,3
0917-2893798419,prepaid,03/10/2010,9.38,0,20,0,168,8,5/24/2019,15,CN-12,5,7,2,0,131,4,28,20,27,4,24,6,0
0917-4837294759,postpaid,2/13/2012,7.42,1,500,999,1499,1,06/01/2019,7,CN-13,30,30,23,17,29,132,8,5,13,10,24,4,7
0917-9971531557,prepaid,01/11/2015,4.47,0,100,0,300,2,06/02/2019,6,CN-22,21,15,9,17,134,6,9,5,23,6,21,14,0
0917-7132300234,postpaid,05/01/2015,4.16,0,0,599,599,1,5/14/2019,25,CN-23,30,30,8,2,162,230,4,30,12,2,15,6,0
0917-6305101665,prepaid,5/13/2015,4.13,0,300,0,400,2,06/05/2019,3,CN-10,9,10,9,20,30,232,22,17,13,2,30,14,0
0917-3399675598,prepaid,04/09/2010,9.3,0,30,0,83,2,05/05/2019,34,CN-22,7,3,2,0,49,295,1,3,29,4,3,26,9
0917-6771009494,prepaid,05/04/2018,1.11,0,100,0,400,3,04/08/2019,61,CN-12,21,19,25,26,112,65,19,12,28,7,9,29,10
0917-5926567236,prepaid,7/15/2017,1.92,0,50,0,97,1,05/04/2019,35,CN-6,6,1,3,0,127,92,9,19,5,6,19,16,9
0917-1762730527,prepaid,5/28/2016,3.07,0,100,0,300,2,05/11/2019,28,CN-2,22,16,8,24,43,23,24,1,6,2,8,25,0
0917-3556481694,prepaid,4/22/2011,8.25,0,500,0,547,2,05/08/2019,31,CN-6,24,29,24,18,165,125,24,14,14,1,8,25,9
0917-3744765568,postpaid,10/11/2014,4.72,1,3,1299,1302,1,06/01/2019,7,CN-23,30,30,29,13,160,15,6,25,24,3,29,23,0
0917-8488277820,prepaid,8/31/2013,5.85,0,15,0,94,6,04/12/2019,57,CN-18,5,2,0,0,131,13,12,24,28,5,14,2,9
0917-9585990011,prepaid,4/21/2011,8.25,0,100,0,300,3,04/01/2019,68,CN-11,11,10,29,11,248,14,28,22,9,1,20,5,10
0917-8363546858,prepaid,11/16/2010,8.68,0,100,0,500,4,06/01/2019,7,CN-23,13,20,28,15,87,24,21,5,5,3,30,26,9
0917-5102549163,prepaid,09/11/2018,0.75,0,50,0,77,1,05/03/2019,36,CN-13,7,1,0,0,196,105,23,2,17,5,23,23,0
0917-8609064883,prepaid,4/13/2009,10.3,0,100,0,300,4,5/24/2019,15,CN-22,30,15,19,16,80,103,4,16,2,7,29,1,0
0917-1219295827,postpaid,04/12/2012,7.26,0,0,599,599,1,5/15/2019,24,CN-14,30,30,28,17,272,245,12,1,16,9,9,8,10
0917-2742695808,prepaid,12/31/2016,2.47,0,300,0,400,2,05/08/2019,31,CN-14,30,24,29,17,33,14,16,11,22,6,21,4,0
0917-3409007083,postpaid,1/23/2015,4.44,1,0,599,599,1,5/22/2019,17,CN-11,30,30,18,21,87,117,19,16,5,4,13,23,8
0917-1916423512,prepaid,02/04/2010,9.47,0,100,0,500,6,4/20/2019,49,CN-8,23,11,26,25,119,122,7,23,7,1,24,23,0
0917-5943227735,postpaid,6/25/2012,7.05,2,700,599,1299,1,05/11/2019,28,CN-18,30,30,6,17,135,29,1,29,7,1,26,22,0
0917-4706570971,postpaid,6/27/2009,10.09,1,282,999,1281,1,5/30/2019,9,CN-10,30,30,5,10,225,235,2,19,18,4,1,16,9
0917-8057466282,postpaid,4/29/2010,9.24,0,700,599,1299,1,06/02/2019,6,CN-15,30,30,8,16,108,76,13,2,21,10,7,6,0
0917-2607477866,prepaid,11/18/2012,6.65,0,100,0,400,2,04/10/2019,59,CN-6,7,11,20,0,3,93,28,14,8,9,10,26,9
0917-4999667477,prepaid,10/14/2018,0.66,0,300,0,500,2,4/29/2019,40,CN-10,23,9,14,10,139,114,18,8,17,10,27,30,0
0917-3782925182,prepaid,11/23/2012,6.63,0,300,0,500,2,5/13/2019,26,CN-11,12,7,22,0,101,262,25,4,8,6,26,21,9
0917-2484976705,prepaid,10/22/2018,0.64,0,100,0,300,4,04/02/2019,67,CN-25,8,18,9,11,280,4,14,7,8,9,7,25,9
0917-6371159241,prepaid,2/19/2019,0.3,0,30,0,150,3,05/01/2019,38,CN-10,4,7,7,0,237,16,29,15,26,5,16,6,0
0917-5598318355,prepaid,12/02/2014,4.58,0,30,0,50,1,4/26/2019,43,CN-6,4,3,0,0,221,48,8,16,8,3,22,28,0
0917-1715048133,postpaid,10/01/2012,6.78,0,200,799,999,1,5/16/2019,23,CN-16,30,30,3,9,191,248,29,16,3,7,27,10,0
0917-2767454602,postpaid,3/29/2019,0.2,2,301,799,1100,1,5/24/2019,15,CN-16,30,30,3,12,260,188,12,13,13,2,23,8,0
0917-3129195118,postpaid,10/01/2010,8.81,0,0,599,599,1,5/25/2019,14,CN-12,30,30,20,10,280,188,18,1,9,1,24,27,7
0917-7554276870,prepaid,12/31/2011,7.54,0,15,0,89,2,5/14/2019,25,CN-14,5,3,3,0,7,13,28,15,14,10,21,26,10
0917-5165993233,prepaid,1/14/2010,9.53,0,100,0,500,5,04/03/2019,66,CN-18,13,26,25,22,236,214,16,29,6,4,25,21,0
0917-8428900453,prepaid,2/19/2013,6.39,0,300,0,400,2,4/30/2019,39,CN-17,9,17,21,4,51,279,2,15,9,3,26,14,0
0917-3145429623,prepaid,9/13/2013,5.82,0,50,0,52,1,05/07/2019,32,CN-18,4,2,0,0,261,52,7,10,21,8,8,24,0
0917-9254248858,prepaid,02/12/2010,9.45,0,300,0,300,2,4/30/2019,39,CN-2,15,17,15,3,150,46,15,30,16,10,21,3,0
0917-6829003884,prepaid,5/16/2015,4.12,0,300,0,334,2,06/01/2019,7,CN-14,11,16,9,24,215,125,22,2,3,7,25,17,0
0917-3569891056,postpaid,9/18/2009,9.86,0,296,1999,2295,1,5/19/2019,20,CN-3,30,30,2,14,164,212,22,29,18,5,23,12,8
0917-3822175192,prepaid,10/12/2013,5.74,0,15,0,96,4,05/02/2019,37,CN-7,6,3,1,0,172,199,9,15,4,4,28,10,7
0917-6002199103,postpaid,12/01/2009,9.65,0,300,999,1299,1,5/28/2019,11,CN-8,30,30,25,21,257,251,12,6,15,6,28,19,3
0917-6348839190,prepaid,03/07/2016,3.3,0,100,0,400,2,05/06/2019,33,CN-8,8,11,9,27,107,167,25,23,2,4,5,21,10
0917-4013644978,prepaid,02/06/2010,9.47,0,50,0,150,2,05/04/2019,35,CN-4,0,2,3,0,156,59,18,16,2,4,16,17,0
0917-6426119122,prepaid,12/07/2010,8.62,0,100,0,200,2,06/02/2019,6,CN-25,2,1,3,0,260,168,19,28,10,4,13,23,7
0917-5366770063,prepaid,1/30/2012,7.46,0,500,0,502,2,06/02/2019,6,CN-7,22,24,20,21,292,140,3,20,3,7,28,21,3
0917-5799637484,prepaid,08/09/2011,7.94,0,15,0,156,7,04/08/2019,61,CN-1,6,2,2,0,278,64,7,12,5,5,20,29,8
0917-7854380757,prepaid,12/31/2015,3.49,0,100,0,300,3,5/14/2019,25,CN-15,14,15,19,7,297,93,1,11,20,5,8,17,0
0917-3075220604,prepaid,12/01/2009,9.65,0,300,0,500,2,05/01/2019,38,CN-2,21,25,9,7,112,253,15,2,11,5,12,29,0
0917-5312218577,prepaid,3/27/2017,2.23,0,50,0,129,1,5/23/2019,16,CN-9,2,3,6,0,298,68,21,13,26,6,28,18,0
0917-4915658737,postpaid,2/13/2019,0.32,1,85,999,1084,1,06/03/2019,5,CN-4,30,30,28,17,107,45,26,27,24,1,2,26,0
0917-8858587730,prepaid,11/26/2015,3.58,0,50,0,75,1,05/05/2019,34,CN-20,6,1,2,0,154,5,22,4,3,5,30,19,0
0917-7318529303,prepaid,2/27/2017,2.31,0,100,0,500,4,04/11/2019,58,CN-23,15,21,27,20,6,79,16,30,15,8,2,1,0
0917-1188593987,postpaid,3/13/2015,4.3,0,118,999,1117,1,06/02/2019,6,CN-11,30,30,13,4,195,244,7,10,13,10,22,13,5
0917-8821048002,prepaid,5/17/2017,2.09,0,30,0,191,2,4/15/2019,54,CN-9,5,1,1,0,124,45,19,7,27,8,6,3,0
0917-6371444395,prepaid,01/07/2011,8.54,0,100,0,400,3,4/17/2019,52,CN-5,28,30,19,16,23,176,10,28,19,3,8,20,0
0917-9187764501,postpaid,1/29/2015,4.42,0,200,599,799,1,06/02/2019,6,CN-10,30,30,24,2,183,33,17,23,1,2,30,30,0
0917-6208048422,postpaid,10/27/2011,7.72,0,0,999,999,1,05/11/2019,28,CN-21,30,30,12,3,249,185,10,4,10,2,12,23,0
0917-3171754916,prepaid,5/29/2014,5.1,0,500,0,580,2,04/06/2019,63,CN-17,16,15,12,8,191,299,26,6,26,7,26,20,5
0917-2077211583,prepaid,12/17/2011,7.58,0,50,0,98,1,4/18/2019,51,CN-8,3,2,0,0,85,262,27,14,29,1,23,20,0
0917-6159794748,prepaid,08/10/2012,6.92,0,100,0,100,2,4/26/2019,43,CN-11,3,0,2,0,31,231,11,25,9,2,15,12,0
0917-6878220009,postpaid,3/28/2014,5.27,0,0,599,599,1,5/23/2019,16,CN-10,30,30,11,6,100,208,15,30,20,6,23,4,7
0917-6956147701,prepaid,12/10/2017,1.51,0,100,0,400,4,4/17/2019,52,CN-5,12,11,13,15,226,204,29,27,17,10,16,7,8
0917-8912843238,prepaid,5/18/2011,8.17,0,100,0,200,2,04/11/2019,58,CN-3,6,0,7,0,49,299,9,2,10,6,23,24,0
0917-3823681697,postpaid,02/05/2016,3.39,0,0,599,599,1,5/17/2019,22,CN-13,30,30,23,9,169,264,5,7,28,6,15,29,8
0917-3212656143,prepaid,11/04/2016,2.63,0,50,0,126,2,05/10/2019,29,CN-6,4,5,1,0,278,30,13,18,27,7,19,14,0
0917-4931379229,prepaid,7/13/2009,10.05,0,30,0,192,6,06/04/2019,4,CN-7,2,5,1,0,250,181,14,28,9,5,1,26,7
0917-5236037024,prepaid,1/29/2014,5.43,0,50,0,56,1,04/04/2019,65,CN-21,2,2,0,0,64,142,6,4,23,6,5,5,0
0917-6132870186,prepaid,2/16/2016,3.35,0,300,0,503,2,4/24/2019,45,CN-13,30,29,22,18,104,251,20,23,9,6,7,29,7
0917-9957047006,prepaid,08/02/2015,3.9,0,100,0,300,4,5/15/2019,24,CN-6,20,11,21,24,94,29,8,6,11,2,13,12,0
0917-6679259938,postpaid,12/12/2015,3.54,0,0,799,799,1,5/15/2019,24,CN-18,30,30,28,10,6,6,16,12,28,1,27,14,0
0917-3941007420,prepaid,3/20/2012,7.32,0,100,0,400,4,4/20/2019,49,CN-17,18,8,28,12,185,285,21,2,26,1,24,29,0
0917-4442143775,prepaid,10/28/2017,1.63,0,100,0,400,3,5/31/2019,8,CN-9,21,14,24,4,56,67,23,4,25,7,19,24,0
0917-5041124625,prepaid,7/22/2015,3.94,0,300,0,400,2,4/15/2019,54,CN-12,14,11,29,3,128,107,17,29,25,10,15,6,0
0917-8986188145,prepaid,05/02/2011,8.22,0,100,0,500,3,05/07/2019,32,CN-12,29,15,24,24,136,140,14,15,10,2,22,22,10
0917-5634986794,prepaid,4/22/2012,7.23,0,300,0,300,2,4/21/2019,48,CN-17,17,29,25,18,202,240,25,15,24,9,26,30,10
0917-8567662916,prepaid,7/28/2018,0.87,0,100,0,400,4,5/26/2019,13,CN-1,10,19,7,0,242,95,17,19,7,3,7,20,9
0917-2168133789,prepaid,4/29/2012,7.21,0,100,0,400,3,5/18/2019,21,CN-21,29,26,26,11,79,229,2,8,26,3,23,22,3
0917-6879960383,postpaid,7/20/2012,6.98,0,0,599,599,1,06/04/2019,4,CN-8,30,30,8,20,212,147,4,9,4,4,9,18,0
0917-8788708269,prepaid,11/25/2013,5.61,0,300,0,400,2,04/03/2019,66,CN-19,7,24,9,0,188,193,13,29,8,1,28,11,0
0917-4759059447,prepaid,1/14/2019,0.4,0,50,0,143,1,4/13/2019,56,CN-17,3,1,0,0,42,58,8,9,19,7,7,22,0
0917-2006187965,prepaid,06/01/2012,7.12,0,50,0,89,1,5/15/2019,24,CN-8,3,1,2,0,247,134,15,23,30,10,8,30,0
0917-2988658075,prepaid,10/14/2013,5.73,0,100,0,300,2,4/20/2019,49,CN-24,25,10,10,23,201,122,1,24,15,4,25,16,0
0917-8468142396,prepaid,07/06/2010,9.05,0,300,0,500,2,06/02/2019,6,CN-4,8,26,24,8,129,89,3,25,16,8,27,11,0
0917-1835356553,postpaid,7/19/2017,1.91,0,0,799,799,1,5/27/2019,12,CN-25,30,30,22,15,40,239,20,26,2,5,3,2,0
0917-7044089260,postpaid,05/02/2014,5.17,0,234,1299,1533,1,5/27/2019,12,CN-17,30,30,19,9,33,72,23,13,21,7,22,5,0
0917-1958848393,prepaid,6/22/2016,3,0,100,0,400,3,06/02/2019,6,CN-9,13,12,8,21,238,136,14,20,25,5,12,1,0
0917-6243591736,prepaid,03/10/2018,1.26,0,300,0,400,2,4/21/2019,48,CN-25,21,25,30,5,208,254,28,12,16,10,6,23,9
0917-5135591716,prepaid,8/20/2010,8.93,0,30,0,105,3,5/26/2019,13,CN-15,2,2,3,0,226,260,4,22,20,9,3,11,0
0917-6215163830,prepaid,4/20/2013,6.22,0,100,0,300,2,04/09/2019,60,CN-1,8,15,7,0,110,256,18,29,29,6,8,14,8
0917-6658838029,postpaid,06/12/2010,9.12,2,227,1299,1526,1,06/03/2019,5,CN-12,30,30,15,14,299,62,1,19,25,5,3,19,10
0917-7542671376,prepaid,03/04/2012,7.37,0,15,0,165,10,05/01/2019,38,CN-5,0,5,3,0,199,101,4,21,15,1,18,25,0
0917-4216596507,prepaid,01/12/2018,1.42,0,100,0,300,2,4/16/2019,53,CN-18,28,17,11,19,251,252,27,17,28,1,10,4,0
0917-7889465085,prepaid,4/19/2009,10.28,0,30,0,197,4,04/12/2019,57,CN-13,3,6,1,0,271,103,15,3,19,6,13,16,10
0917-7948905679,postpaid,07/12/2014,4.98,0,0,599,599,1,5/18/2019,21,CN-22,30,30,2,20,288,292,25,30,12,7,16,27,7
0917-5406049482,prepaid,11/24/2011,7.65,0,100,0,500,3,5/30/2019,9,CN-8,13,15,16,19,268,12,2,23,30,4,8,12,0
0917-2063971848,postpaid,12/19/2012,6.56,0,0,799,799,1,5/15/2019,24,CN-3,30,30,9,29,100,150,29,28,10,7,30,15,7
0917-9669461133,prepaid,7/26/2017,1.89,0,100,0,500,2,4/29/2019,40,CN-20,13,15,12,30,40,230,6,4,7,2,12,6,0
0917-5802397133,prepaid,12/05/2012,6.6,0,50,0,53,1,4/15/2019,54,CN-6,7,3,0,0,25,293,28,24,28,8,8,27,0
0917-7238986307,prepaid,11/25/2017,1.55,0,100,0,100,2,4/23/2019,46,CN-19,7,1,3,0,134,274,4,4,18,5,19,20,0
0917-1279993294,prepaid,9/14/2016,2.77,0,100,0,400,5,05/01/2019,38,CN-10,26,29,25,25,166,286,29,24,15,4,28,3,0
0917-4703584261,prepaid,02/08/2011,8.45,0,500,0,680,2,4/24/2019,45,CN-14,9,19,21,17,161,162,12,11,15,6,28,25,0
0917-4076245658,prepaid,3/26/2013,6.29,0,100,0,100,2,4/15/2019,54,CN-7,3,1,1,0,160,233,20,28,9,1,21,25,9
0917-9963835697,postpaid,12/06/2014,4.57,0,295,799,1094,1,5/29/2019,10,CN-8,30,30,26,14,92,283,22,23,29,3,23,24,0
0917-7554527336,postpaid,03/07/2013,6.34,1,700,1299,1999,1,5/21/2019,18,CN-14,30,30,11,26,237,23,24,14,13,8,26,29,0
0917-4286567864,postpaid,05/08/2009,10.23,3,86,1999,2085,1,5/18/2019,21,CN-9,30,30,25,9,41,219,23,5,18,8,1,2,9
0917-2274990901,prepaid,09/06/2016,2.79,0,500,0,500,2,5/19/2019,20,CN-24,21,12,14,9,173,90,28,13,6,1,9,25,0
0917-5465777800,prepaid,05/10/2019,0.08,0,300,0,400,2,5/28/2019,11,CN-3,22,7,17,0,10,292,30,1,9,9,23,17,10
0917-9263415823,postpaid,03/01/2013,6.36,1,182,1299,1481,1,5/30/2019,9,CN-12,30,30,8,3,194,272,7,29,13,8,14,4,0
0917-1735133438,postpaid,10/05/2011,7.79,1,49,1299,1348,1,06/06/2019,2,CN-16,30,30,11,13,12,251,7,9,30,9,22,17,9
0917-3095853672,prepaid,09/05/2009,9.9,0,50,0,119,1,04/12/2019,57,CN-8,2,7,2,0,165,283,2,8,8,1,1,21,0
0917-6158023184,prepaid,08/04/2014,4.91,0,50,0,120,1,05/09/2019,30,CN-2,2,5,2,0,53,124,16,7,15,5,18,20,0
0917-4985020454,prepaid,9/20/2014,4.78,0,100,0,300,3,04/12/2019,57,CN-4,17,7,8,0,214,77,16,20,21,5,10,22,3
0917-2714784453,prepaid,03/10/2015,4.31,0,300,0,400,2,5/22/2019,17,CN-4,20,24,30,25,245,41,4,27,13,7,10,24,8
0917-3536826139,prepaid,12/10/2011,7.6,0,100,0,500,2,5/23/2019,16,CN-19,20,23,12,10,88,80,22,16,4,3,10,10,0
0917-2674951074,prepaid,12/14/2016,2.52,0,100,0,300,2,4/24/2019,45,CN-7,9,23,9,27,233,283,19,2,29,9,11,14,3
0917-7473249416,prepaid,04/04/2015,4.24,0,30,0,181,4,4/25/2019,44,CN-25,4,1,2,0,186,86,29,25,25,4,22,3,0
0917-9506104866,prepaid,01/05/2019,0.43,0,100,0,400,3,06/02/2019,6,CN-8,12,29,26,22,43,265,7,10,16,8,9,7,9
0917-4717809724,prepaid,12/30/2018,0.44,0,300,0,500,2,05/04/2019,35,CN-1,30,22,15,23,225,46,18,29,8,10,26,13,0
0917-7335022364,prepaid,6/25/2018,0.97,0,15,0,170,8,4/27/2019,42,CN-18,5,3,1,0,81,146,4,20,21,9,8,22,10
0917-1498767873,postpaid,12/11/2015,3.54,1,400,599,999,1,5/19/2019,20,CN-9,30,30,2,15,76,89,28,20,10,4,16,2,0
0917-3824588456,prepaid,05/04/2017,2.12,0,100,0,400,4,4/25/2019,44,CN-5,11,8,19,20,293,64,6,4,17,5,11,23,9
0917-2014057774,prepaid,01/01/2015,4.5,0,20,0,118,1,06/03/2019,5,CN-9,0,1,3,0,81,28,27,28,7,1,10,3,0
0917-7051847546,prepaid,3/30/2016,3.24,0,300,0,516,2,5/16/2019,23,CN-19,10,12,10,13,215,136,16,27,17,6,14,30,9
0917-1365662095,prepaid,6/26/2013,6.04,0,100,0,900,9,04/09/2019,60,CN-8,17,16,16,28,104,42,8,8,2,1,20,6,9
0917-4134970292,prepaid,08/04/2018,0.85,0,100,0,500,5,05/11/2019,28,CN-19,13,11,25,25,90,200,28,10,21,6,18,14,0
0917-6397689992,prepaid,4/28/2013,6.2,0,300,0,400,2,05/08/2019,31,CN-9,21,27,18,20,73,204,15,6,20,8,9,15,0
0917-5286627724,prepaid,8/27/2014,4.85,0,100,0,400,4,04/02/2019,67,CN-23,11,15,7,0,117,9,16,29,6,7,12,19,0
0917-8718851221,prepaid,6/24/2013,6.04,0,30,0,155,4,5/17/2019,22,CN-8,0,5,1,0,74,11,18,20,9,1,13,18,0
0917-8406722961,prepaid,7/20/2014,4.95,0,100,0,500,3,4/20/2019,49,CN-21,22,11,24,30,153,66,27,12,8,3,7,7,0
0917-6637988484,postpaid,8/18/2016,2.84,0,200,799,999,1,06/06/2019,2,CN-22,30,30,29,13,9,31,15,4,25,10,25,9,0
0917-4441780149,prepaid,5/16/2012,7.16,0,100,0,400,3,05/03/2019,36,CN-14,24,26,29,20,97,30,10,4,18,7,3,3,7
0917-5821544019,prepaid,5/27/2015,4.09,0,100,0,400,3,5/22/2019,17,CN-22,8,19,8,11,108,272,20,17,5,3,14,18,0
0917-9385200541,prepaid,6/25/2012,7.05,0,300,0,300,2,4/29/2019,40,CN-25,17,15,23,3,251,5,15,16,11,4,8,5,0
0917-9066173357,prepaid,03/02/2010,9.4,0,500,0,624,2,05/05/2019,34,CN-1,7,8,10,0,232,291,20,5,18,1,18,19,0
0917-2625066698,prepaid,6/21/2016,3,0,100,0,500,6,4/28/2019,41,CN-25,19,30,9,12,165,259,27,8,16,6,21,13,0
0917-3039031038,prepaid,07/12/2012,7,0,300,0,400,2,04/02/2019,67,CN-5,19,24,9,6,250,229,30,11,29,5,16,19,0
0917-6361738783,prepaid,1/25/2015,4.43,0,100,0,400,5,06/03/2019,5,CN-8,9,23,30,24,79,241,17,20,6,10,29,26,5
0917-8572369269,postpaid,1/16/2013,6.48,0,301,599,900,1,5/22/2019,17,CN-19,30,30,30,1,86,77,7,12,27,5,29,22,3
0917-6989817440,prepaid,02/07/2014,5.41,0,100,0,300,3,5/31/2019,8,CN-14,14,14,12,28,296,62,23,2,18,8,2,9,0
0917-2631578822,prepaid,10/29/2015,3.66,0,300,0,400,2,4/18/2019,51,CN-14,19,12,19,9,69,225,21,30,23,9,8,26,0
0917-2332263378,postpaid,04/02/2015,4.24,0,0,599,599,1,5/28/2019,11,CN-25,30,30,3,30,115,6,12,17,9,8,14,5,9
0917-6042848069,postpaid,05/03/2013,6.19,1,212,599,811,1,5/20/2019,19,CN-7,30,30,3,5,285,187,20,22,19,10,21,3,9
0917-4696528877,prepaid,02/04/2010,9.47,0,100,0,100,2,5/14/2019,25,CN-1,1,0,2,0,144,16,29,6,26,9,3,2,0
0917-6577407552,prepaid,07/01/2011,8.05,0,100,0,500,5,04/08/2019,61,CN-10,9,30,10,24,238,91,6,6,19,9,28,8,9
0917-3799342206,postpaid,12/28/2016,2.48,5,101,599,700,1,5/16/2019,23,CN-8,30,30,19,5,9,293,6,5,6,4,5,14,0
0917-6909404655,prepaid,10/19/2013,5.72,0,100,0,400,3,5/31/2019,8,CN-1,29,27,27,18,101,107,29,14,24,6,10,11,7
0917-2031230456,prepaid,7/16/2018,0.91,0,300,0,300,2,5/28/2019,11,CN-16,12,22,23,25,100,93,4,15,8,2,16,20,7
0917-2469625570,postpaid,9/30/2017,1.71,1,171,1799,1970,1,5/21/2019,18,CN-3,30,30,3,5,189,271,8,10,17,7,12,21,9
0917-3213178973,prepaid,12/04/2018,0.52,0,100,0,400,3,5/27/2019,12,CN-18,23,24,15,11,205,41,4,4,28,3,14,16,0
